taxpayer_pin,taxpayer_name,department,division,station_name,obligation_name,year,total_advance_tax_paid,total_turnover,is_nil_return,variance,estimate
P051901152Y,Mwanzo Wetu Centre Of Excellence Academy,MST,Compliance,Kisumu,Income Tax - Company,2022,23760,1,N,23759,2138.31
P051571032Q,Snow Dragon Limited,MST,Compliance,North of Nairobi,Income Tax - Company,2016,67200,0,N,67200,6048
P051718710F,Cielo Energy Limited,MST,Compliance,Kisumu,Income Tax - Company,2022,2400,0,N,2400,216
P051148009U,Prestige Agriculture Limited,MST,Compliance,NAKURU,Income Tax - Company,2023,9870,1,N,9869,888.21
P051470612M,Silmag Investments Limited,MST,Compliance,West of Nairobi,Income Tax - Company,2016,11580,1,N,11579,1042.11
P051555758U,Bora Partners Limited,MST,Compliance,North of Nairobi,Income Tax - Company,2016,23760,1,N,23759,2138.31
P051416667O,FRENCY EAST AFRICA LIMITED,MST,Compliance,East of Nairobi,Income Tax - Company,2017,2880,0,N,2880,259.2
P051311524J,SHANCHASKY ENGINEERING CONSTRUCTION CO LIMITED,MST,Compliance,East of Nairobi,Income Tax - Company,2018,2400,1,N,2399,215.91
P000608159F,Nahiho Co-op Sav & Cr Ltd.,MST,Compliance,North of Nairobi,Income Tax - Company,2016,16560,0,N,16560,1490.4
P051615505B,ADTELE MEDIA SOLUTIONS LIMITED,MST,Compliance,East of Nairobi,Income Tax - Company,2017,2400,0.01,N,2399.99,215.9991
P051233698L,Blue Ocean Investments Limited,MST,Compliance,North of Nairobi,Income Tax - Company,2018,3600,0,N,3600,324
P051235996S,Munyiri Special Honey Limited,MST,Compliance,KERUGOYA,Income Tax - Company,2016,14850,0,N,14850,1336.5
P051408312U,"Gulsan Insaat Sanayi,turizm,nakliyat Ve Ticaret Anonim Sirketi",LMT,Compliance,LTO,Income Tax - Company,2019,346500,0,N,346500,31185
P051161050G,Bravada Estates Limited,MST,Compliance,South of Nairobi,Income Tax - Company,2019,15000,1,N,14999,1349.91
